contig_ID,Methylation_MAG
s37787.ctg041585l,NA
s22080.ctg024321l,NA
s7938.ctg008858l,NA
s46494.ctg051424l,NA
s54706.ctg061980l,NA
s1480.ctg001666l,NA
s26044.ctg028663l,NA
s47999.ctg053178l,NA
s12666.ctg014043l,NA
s31711.ctg034900l,NA
s28265.ctg031131l,NA
s10.ctg006374l,NA
s37725.ctg041517l,NA
s12036.ctg013341l,NA
s51037.ctg056794l,NA
s10478.ctg011637l,NA
s4937.ctg005546l,NA
s16167.ctg017888l,NA
s32002.ctg035219l,NA
s34185.ctg037594l,NA
s5143.ctg005776l,NA
s22742.ctg025042l,NA
s22595.ctg024878l,NA
s10.ctg016613l,NA
s9536.ctg010618l,NA
s19571.ctg021597l,NA
s30689.ctg033781l,NA
s40435.ctg044576l,NA
s37589.ctg041360l,NA
s10142.ctg011263l,NA
s43620.ctg048138l,NA
s21250.ctg023423l,NA
s11777.ctg013059l,NA
s2676.ctg003015l,NA
s28823.ctg031731l,NA
s21155.ctg023320l,NA
s19159.ctg021156l,NA
s13266.ctg014701l,NA
s24764.ctg027267l,NA
s37915.ctg041730l,NA
s10.ctg023067l,NA
s815.ctg000914l,NA
s14982.ctg016573l,NA
s6730.ctg007507l,NA
s324.ctg000367l,NA
s30438.ctg033503l,NA
s41947.ctg046252l,NA
s53079.ctg059450l,NA
s8825.ctg009836l,NA
s14884.ctg016470l,NA
s14574.ctg016140l,NA
s16935.ctg018734l,NA
s34357.ctg037780l,NA
s19282.ctg021289l,NA
s49453.ctg054867l,NA
s52489.ctg058669l,NA
s12948.ctg014355l,NA
s31106.ctg034242l,NA
s16461.ctg018223l,NA
s7481.ctg008349l,NA
s18540.ctg020487l,NA
s2540.ctg002865l,NA
s29613.ctg032600l,NA
s10.ctg057336l,NA
s4877.ctg005481l,NA
s42922.ctg047349l,NA
s10.ctg061570l,NA
s10462.ctg011618l,NA
s16791.ctg018578l,NA
s3256.ctg003667l,NA
s10.ctg007086l,NA
s3644.ctg004115l,NA
s34728.ctg038189l,NA
s1036.ctg001163l,NA
s35298.ctg038827l,NA
s49930.ctg055440l,NA
s12479.ctg013838l,NA
s13027.ctg014440l,NA
s5627.ctg006299l,NA
s10.ctg043795l,NA
s16265.ctg017998l,NA
s12007.ctg013310l,NA
s30098.ctg033131l,NA
s47045.ctg052059l,NA
s38218.ctg042061l,NA
s54204.ctg061080l,NA
s51485.ctg057337l,NA
s18963.ctg020947l,NA
s7368.ctg008218l,NA
s17799.ctg019675l,NA
