contig_ID,Methylation_MAG
s4.ctg033879l,NA
s4.ctg049414l,NA
s4.ctg064301l,NA
s4.ctg027528l,NA
s6379.ctg009274l,NA
s20451.ctg029775c,NA
s2141.ctg003122l,NA
s34583.ctg052247l,NA
s22135.ctg032327l,NA
s4.ctg060168l,NA
s31265.ctg046556l,NA
s18978.ctg027572l,NA
s23712.ctg034653l,NA
s6198.ctg008976l,NA
s4.ctg008281l,NA
s4.ctg052326l,NA
s4.ctg031413l,NA
s4.ctg030609l,NA
s24984.ctg036650l,NA
s149.ctg026218l,NA
s4.ctg066345l,NA
s4.ctg060332l,NA
s4.ctg001504l,NA
s43509.ctg071595l,NA
s4.ctg053582l,NA
s9967.ctg014410l,NA
s4.ctg020553l,NA
s4.ctg033287l,NA
s125.ctg000183l,NA
s21.ctg048866l,NA
s22254.ctg032500l,NA
s702.ctg001015l,NA
s25063.ctg036768l,NA
s24094.ctg035250l,NA
s17722.ctg025718l,NA
s37880.ctg058524l,NA
s4.ctg018805l,NA
s38145.ctg059022l,NA
s35559.ctg054052l,NA
s28329.ctg041803l,NA
s4.ctg029430l,NA
s34294.ctg051675l,NA
s10250.ctg014784c,NA
s40135.ctg063139l,NA
s41901.ctg067206l,NA
s4.ctg052325l,NA
s20641.ctg030071l,NA
s4.ctg054263l,NA
s29.ctg000041l,NA
s19818.ctg028816l,NA
s21.ctg046706l,NA
s32988.ctg049401l,NA
s4.ctg000940l,NA
s35545.ctg054027l,NA
s4.ctg067066l,NA
s4.ctg006613l,NA
s23438.ctg034235l,NA
s24624.ctg036086l,NA
s4.ctg031641l,NA
s4.ctg050268l,NA
s4.ctg002869l,NA
s9791.ctg014160l,NA
s16969.ctg024593c,NA
s4.ctg042492l,NA
s2474.ctg003585l,NA
s4.ctg004036l,NA
s37206.ctg057153l,NA
s4.ctg020441l,NA
s4.ctg070931l,NA
s30769.ctg045749l,NA
s4.ctg004915l,NA
s4.ctg008771l,NA
s29159.ctg043102l,NA
s21938.ctg032014l,NA
s39209.ctg061175l,NA
s5495.ctg007944l,NA
s4.ctg007180l,NA
s15846.ctg022926l,NA
s4.ctg064032l,NA
s32710.ctg048951l,NA
s14243.ctg020609l,NA
s4.ctg051447l,NA
s36844.ctg056472l,NA
s4634.ctg006691l,NA
s35299.ctg053563l,NA
s4.ctg012855l,NA
s4.ctg046978l,NA
s4.ctg036776l,NA
s24523.ctg035935l,NA
s29672.ctg044001l,NA
s4.ctg017938l,NA
s4351.ctg006295l,NA
