sample	percent	reads	taxon_id	taxon_name
EFF1	0.094718	3819	288793	Salinimonas
EFF1	0.093875	3785	40222	Methylophaga
EFF1	0.09328	3761	338	Xanthomonas
EFF1	0.092685	3737	191028	Leisingera
EFF1	0.091866	3704	1648491	Aquihabitans
EFF1	0.091643	3695	1234	Nitrospira
EFF1	0.091197	3677	2891322	Parazoarcus
EFF1	0.091122	3674	2685927	Tardibacter
EFF1	0.090105	3633	174951	Ramlibacter
EFF1	0.090031	3630	1348508	Roseimicrobium
EFF1	0.089262	3599	107	Spirosoma
EFF1	0.088022	3549	662	Vibrio
EFF1	0.087724	3537	44013	Polynucleobacter
EFF1	0.087303	3520	28105	Sinorhizobium
EFF1	0.087228	3517	314343	Sideroxydans
EFF1	0.086906	3504	2706000	Casimicrobium
EFF1	0.085939	3465	919	Thiobacillus
EFF1	0.085641	3453	219181	Ottowia
EFF1	0.085319	3440	2093823	Candidatus Nanosynbacter
EFF1	0.084475	3406	1470540	Jeotgalibaca
EFF1	0.084426	3404	196013	Caldimonas
EFF1	0.083062	3349	1433993	Chryseolinea
EFF1	0.082962	3345	1263	Ruminococcus
EFF1	0.081772	3297	2891294	Nitrogeniibacter
EFF1	0.081474	3285	36862	Ideonella
EFF1	0.080557	3248	2207	Methanosarcina
EFF1	0.078746	3175	1004301	Flavihumibacter
EFF1	0.078448	3163	346096	Paludibacter
EFF1	0.078225	3154	1769726	Niveibacterium
EFF1	0.077952	3143	47	Archangium
EFF1	0.077556	3127	292632	Subdoligranulum
EFF1	0.077308	3117	570	Klebsiella
EFF1	0.076861	3099	28453	Sphingobacterium
EFF1	0.075894	3060	308865	Elizabethkingia
EFF1	0.07572	3053	119977	Acidithiobacillus
EFF1	0.075125	3029	935200	Sulfuricella
EFF1	0.074604	3008	162027	Haliangium
EFF1	0.07453	3005	1443919	Tabrizicola
EFF1	0.074133	2989	1298	Deinococcus
EFF1	0.074083	2987	28067	Rubrivivax
EFF1	0.073761	2974	2922426	Phototrophicus
EFF1	0.071876	2898	161492	Anaeromyxobacter
EFF1	0.071826	2896	202907	Collimonas
