contig_ID,Methylation_MAG
s36169.ctg044688l,NA
s3798.ctg004307l,NA
s1073.ctg035135l,NA
s35809.ctg044189l,NA
s1091.ctg043440l,NA
s4141.ctg004708l,NA
s14225.ctg016754l,NA
s15575.ctg018402l,NA
s18259.ctg021655l,NA
s25.ctg007015l,NA
s9243.ctg010777c,NA
s345.ctg047054l,NA
s266.ctg043786l,NA
s11.ctg025573l,NA
s10946.ctg012821l,NA
s10096.ctg011810l,NA
s13643.ctg016057l,NA
s1095.ctg001199l,NA
s25.ctg054171l,NA
s20305.ctg024127l,NA
s25.ctg056067l,NA
s17.ctg005331l,NA
s307.ctg059582l,NA
s33139.ctg040593l,NA
s26760.ctg032193l,NA
s307.ctg017338l,NA
s25.ctg059615l,NA
s1717.ctg001917l,NA
s1219.ctg001340l,NA
s32788.ctg040106l,NA
s25.ctg058058l,NA
s1136.ctg005584l,NA
s558.ctg000606l,NA
s7900.ctg009147l,NA
s486.ctg019066l,NA
s1481.ctg001645l,NA
s6005.ctg006929l,NA
s6577.ctg007600l,NA
s1412.ctg031482l,NA
s29854.ctg036240l,NA
s47.ctg002278l,NA
s17281.ctg020470c,NA
s3013.ctg003395l,NA
s373.ctg037412l,NA
s599.ctg000651l,NA
s25.ctg041048l,NA
s1074.ctg001176l,NA
s20307.ctg024129l,NA
s8676.ctg010088l,NA
s5739.ctg006604c,NA
s21547.ctg025635c,NA
s8307.ctg009636l,NA
s14813.ctg017468c,NA
s2959.ctg046200l,NA
s11725.ctg013757l,NA
s19323.ctg043246l,NA
s994.ctg005068l,NA
s657.ctg007139l,NA
s13794.ctg016232c,NA
s29655.ctg035973l,NA
s15239.ctg017983c,NA
s21481.ctg025555c,NA
s3795.ctg056086l,NA
s3911.ctg046212l,NA
s26491.ctg031857l,NA
s9712.ctg026376l,NA
s821.ctg010208l,NA
s18590.ctg022054l,NA
s981.ctg035780l,NA
s7946.ctg009204l,NA
s25.ctg050376l,NA
s25.ctg043172l,NA
s4462.ctg005095l,NA
s25.ctg055014l,NA
s373.ctg011533l,NA
s11.ctg046674l,NA
s25.ctg031158l,NA
s717.ctg042915l,NA
s15483.ctg018285l,NA
s23949.ctg028599l,NA
s17.ctg022902l,NA
s16525.ctg019550l,NA
s34851.ctg042903l,NA
s35045.ctg043158c,NA
s853.ctg038978l,NA
s19764.ctg023476l,NA
s17738.ctg021024l,NA
s10828.ctg012685l,NA
s10747.ctg012592l,NA
s25.ctg059101l,NA
s42688.ctg055561l,NA
s373.ctg017395l,NA
s31858.ctg038835l,NA
s25.ctg039737l,NA
s25.ctg053858l,NA
s34425.ctg042313l,NA
s25.ctg050221l,NA
s618.ctg027589l,NA
s8888.ctg052564l,NA
s8845.ctg010283c,NA
s6108.ctg007049c,NA
s23113.ctg027544l,NA
s28415.ctg034345l,NA
s451.ctg044139l,NA
s30042.ctg036478l,NA
s33780.ctg041427l,NA
s451.ctg000495l,NA
s13425.ctg015798l,NA
s213.ctg000230l,NA
s32120.ctg039199l,NA
s24908.ctg029820l,NA
s38548.ctg048095l,NA
s4160.ctg055496l,NA
s12998.ctg015286l,NA
s18813.ctg022327c,NA
s303.ctg000328l,NA
s26092.ctg031357l,NA
s17499.ctg020726c,NA
s5155.ctg056294l,NA
s26617.ctg032019l,NA
s35826.ctg044212l,NA
s41363.ctg052827l,NA
s788.ctg032349l,NA
s11027.ctg012927l,NA
s1788.ctg002003l,NA
s18979.ctg022527l,NA
s395.ctg009149l,NA
s40241.ctg050808l,NA
s15671.ctg018515l,NA
s12542.ctg014742l,NA
s354.ctg035327l,NA
s2266.ctg008498l,NA
s12926.ctg015202l,NA
s2787.ctg003140l,NA
s7828.ctg009054l,NA
s6454.ctg007454l,NA
s17487.ctg020714l,NA
s18750.ctg022251l,NA
s24964.ctg029891l,NA
s3793.ctg004301l,NA
s11138.ctg013059c,NA
s7525.ctg022662l,NA
s6998.ctg008091l,NA
s3795.ctg007681l,NA
s17460.ctg020687l,NA
s10960.ctg012841c,NA
s354.ctg053716l,NA
s10156.ctg011877l,NA
s6792.ctg007852c,NA
s21805.ctg025957l,NA
s6986.ctg008078l,NA
s39408.ctg049405l,NA
s11.ctg042155l,NA
s42956.ctg056158l,NA
s7595.ctg008791c,NA
s202.ctg045167l,NA
s17.ctg051059l,NA
s4298.ctg004897c,NA
s17.ctg001883l,NA
s1087.ctg001190c,NA
s1073.ctg042028l,NA
s1540.ctg025157l,NA
s12467.ctg014649l,NA
s7312.ctg008465l,NA
s10071.ctg011783l,NA
s14797.ctg017451l,NA
s18001.ctg021328l,NA
s354.ctg053096l,NA
s25.ctg011498l,NA
s4613.ctg005267l,NA
s25.ctg002318l,NA
s9864.ctg041985l,NA
s25.ctg055954l,NA
s25.ctg036499l,NA
s307.ctg022117l,NA
s981.ctg023979l,NA
s97.ctg005173l,NA
s17.ctg039019l,NA
s24109.ctg028813l,NA
s126.ctg003515l,NA
s16888.ctg019995l,NA
s390.ctg003933l,NA
s25.ctg053736l,NA
s1800.ctg037902l,NA
s30261.ctg036768l,NA
s1191.ctg033253l,NA
s7746.ctg023261l,NA
s307.ctg051493l,NA
s12253.ctg014390l,NA
s3784.ctg022467l,NA
s47.ctg007337l,NA
s27605.ctg033306l,NA
s33274.ctg040758l,NA
s17.ctg001914l,NA
s1057.ctg040272l,NA
s40234.ctg050794l,NA
s20.ctg000021l,NA
s717.ctg031512l,NA
s17839.ctg021143l,NA
s32401.ctg039576l,NA
s5656.ctg006504l,NA
s7094.ctg008204l,NA
s20237.ctg024043l,NA
s1744.ctg048458l,NA
s16519.ctg019544l,NA
s30988.ctg037727l,NA
s2696.ctg003034l,NA
s8990.ctg010456l,NA
s21713.ctg025842c,NA
s717.ctg017763l,NA
s1607.ctg040712l,NA
s25.ctg056430l,NA
s139.ctg000151l,NA
s7927.ctg009181l,NA
s6749.ctg007800l,NA
s40351.ctg050999l,NA
s897.ctg000984l,NA
s164.ctg050869l,NA
s13416.ctg015788c,NA
s8888.ctg041367l,NA
s19244.ctg022839l,NA
s29825.ctg036196l,NA
s3795.ctg040511l,NA
s25.ctg050224l,NA
s17.ctg052558l,NA
s3518.ctg009536l,NA
s7156.ctg008274l,NA
s14039.ctg016527l,NA
s22931.ctg027318l,NA
s28650.ctg034633l,NA
s34642.ctg042605l,NA
s25.ctg059057l,NA
s25.ctg056407l,NA
s14627.ctg017243l,NA
s10943.ctg012818c,NA
s40892.ctg051944l,NA
s17.ctg028966l,NA
s2320.ctg002627l,NA
s28992.ctg035093l,NA
s37577.ctg046671l,NA
s361.ctg055891l,NA
s27428.ctg033054l,NA
s14.ctg051656l,NA
s43488.ctg057629l,NA
s7746.ctg057271l,NA
s12498.ctg014686l,NA
s25.ctg047954l,NA
s1053.ctg036137l,NA
s25.ctg023731l,NA
s2103.ctg002382l,NA
s354.ctg028766l,NA
s421.ctg000460l,NA
s42808.ctg055814l,NA
s17544.ctg020788l,NA
s32619.ctg039871l,NA
