Contig_Names,Name
s13289.ctg019181l,semibin2_93
s13525.ctg019526l,semibin2_93
s20958.ctg030325l,semibin2_93
s45321.ctg074148l,semibin2_93
s1.ctg001193l,metabat2.1239
s1.ctg002385l,metabat2.1239
s1.ctg002573l,metabat2.1239
s2195.ctg003136l,metabat2.1239
s2807.ctg004037l,metabat2.1239
s1.ctg009507l,metabat2.1239
s1.ctg010681l,metabat2.1239
s7524.ctg010907l,metabat2.1239
s1.ctg012116l,metabat2.1239
s1.ctg018780l,metabat2.1239
s1.ctg019602l,metabat2.1239
s1.ctg020707l,metabat2.1239
s33600.ctg049681l,metabat2.1239
s37561.ctg056309l,metabat2.1239
s40109.ctg061221l,metabat2.1239
s829.ctg001168l,metabat2.84
s829.ctg001997l,metabat2.84
s829.ctg002590l,metabat2.84
s829.ctg002884l,metabat2.84
s829.ctg003142l,metabat2.84
s829.ctg003732l,metabat2.84
s829.ctg004347l,metabat2.84
s829.ctg006329l,metabat2.84
s829.ctg006840l,metabat2.84
s829.ctg009449l,metabat2.84
s829.ctg009746l,metabat2.84
s829.ctg012398l,metabat2.84
s829.ctg014876l,metabat2.84
s13428.ctg019378l,metabat2.84
s829.ctg047522l,metabat2.84
s829.ctg062059l,metabat2.84
s1859.ctg002658l,semibin2_79
s14401.ctg020782l,semibin2_79
s16774.ctg024202l,semibin2_79
s17219.ctg024818l,semibin2_79
s17303.ctg024939l,semibin2_79
s19619.ctg028349l,semibin2_79
s20519.ctg029661l,semibin2_79
s21008.ctg030405l,semibin2_79
s24897.ctg036273l,semibin2_79
s26412.ctg038582l,semibin2_79
s27122.ctg039670l,semibin2_79
s30733.ctg045237l,semibin2_79
s31084.ctg045756l,semibin2_79
s32522.ctg048006l,semibin2_79
s33895.ctg050165l,semibin2_79
s34390.ctg050982l,semibin2_79
s36406.ctg054263l,semibin2_79
s405.ctg000581l,semibin2_15
s2642.ctg003790l,semibin2_15
s3571.ctg005152l,semibin2_15
s4488.ctg006487l,semibin2_15
s5699.ctg008259l,semibin2_15
s5930.ctg008591l,semibin2_15
s7874.ctg011406l,semibin2_15
s8586.ctg012452l,semibin2_15
s9396.ctg013599l,semibin2_15
s12796.ctg018466l,semibin2_15
s14750.ctg021272l,semibin2_15
s17012.ctg024524l,semibin2_15
s17601.ctg025391l,semibin2_15
s22668.ctg032870l,semibin2_15
s24951.ctg036358l,semibin2_15
s25320.ctg036931l,semibin2_15
s25994.ctg037970l,semibin2_15
s406.ctg000582l,semibin2_55
s671.ctg000950l,semibin2_55
s2102.ctg003001l,semibin2_55
