clade_name	EFF1	EFF2	EFF3	INF1	INF2	INF3	SLU1	SLU2	SLU3
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5066|f__UBA5066|g__UBA5066	0.0	0.0	0.0	0.0085	0.0049	0.0071	0.1524	0.1178	0.0795
d__Bacteria|p__Acidobacteriota|c__UBA6911|o__UBA6911|f__UBA6911|g__JAAYCX01	0.0	0.0	0.0	0.0	0.0	0.0	0.0249	0.022	0.0344
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__SCN-69-37|g__SCN-69-37	0.0	0.0	0.0	0.0	0.0013	0.0023	0.0	0.0	0.0
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__UBA2999|g__VFZN01	0.0098	0.0118	0.0455	0.0	0.0	0.0064	0.0041	0.0009	0.0007
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__UBA2999|g__WHSN01	0.0	0.0	0.0103	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Iamiaceae|g__JAAZBK01	0.0	0.0	0.0	0.0	0.0	0.0116	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Microtrichaceae|g__JADJBW01	0.0329	0.0587	0.0526	0.0	0.0	0.0417	0.0022	0.0036	0.0027
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Microtrichaceae|g__JAGQSZ01	0.0	0.0	0.0	0.0065	0.0	0.0043	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Microtrichaceae|g__JAMLGM01	0.0	0.0	0.0	0.0	0.0028	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Microtrichaceae|g__Microthrix	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Microtrichaceae|g__SSF14	0.3041	0.5929	0.4692	0.0025	0.0	0.317	0.0268	0.0184	0.0264
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Microtrichaceae|g__UBA11034	0.0324	0.0075	0.0162	0.0	0.0	0.0113	0.0008	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__IMCC26256|f__JADLDD01|g__JADLDD01	0.0	0.0	0.0	0.0	0.0	0.0031	0.0013	0.0	0.0013
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Flaviflexus	0.0	0.0	0.0	0.0039	0.0023	0.0023	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__KH17	0.0	0.0	0.0	0.0161	0.0135	0.0278999999999999	0.0006	0.002	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia	0.0	0.0215	0.0	0.007	0.0133	0.014	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Scrofimicrobium	0.0092	0.0	0.0	0.0339	0.0165	0.0419	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Trueperella	0.0	0.0	0.0	0.0012	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__UBA1383	0.0	0.0	0.0	0.0051	0.0	0.0038	0.0	0.0028	0.0054
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Beutenbergiaceae|g__Miniimonas	0.0	0.0	0.0	0.0	0.0045	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Beutenbergiaceae|g__Salana	0.0	0.0	0.0	0.0	0.0	0.0099	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium	1.1102999999999998	1.0797	0.39	1.6964999999999997	1.6539000000000006	1.5832999999999997	0.0	0.0015	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Cellulomonadaceae|g__Actinotalea	0.0	0.0	0.0	0.0059	0.0028	0.007	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Cellulomonadaceae|g__Flavimobilis	0.0	0.0	0.0	0.0661	0.0485	0.0783	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Cellulomonadaceae|g__Rarobacter	0.0	0.0	0.0	0.0	0.0031	0.0064	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Dermabacteraceae|g__Brachybacterium	0.0	0.0	0.0	0.0	0.0	0.0042	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Dermatophilaceae|g__Arsenicicoccus	0.0	0.0	0.0	0.0046	0.0149	0.0068	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Dermatophilaceae|g__CAKUSI01	0.0	0.0	0.0	0.0	0.0	0.0292	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Dermatophilaceae|g__Dermacoccus	0.0	0.0	0.0	0.0027	0.0	0.0074	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Dermatophilaceae|g__F2B08	0.0	0.0	0.0	0.0066	0.0	0.0	0.0	0.0	0.0014
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Dermatophilaceae|g__Ornithinibacter	0.0146	0.0187	0.0148	0.0158	0.0133	0.0185	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Dermatophilaceae|g__Phosphoribacter	0.2073	0.3538	0.3601	0.0	0.0	0.3362	0.0165	0.0163	0.0226
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Dermatophilaceae|g__Phycicoccus	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Dermatophilaceae|g__Phycicoccus_A	0.019	0.0379	0.039	0.0227	0.0247	0.0415	0.0068	0.0072	0.0039
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Dermatophilaceae|g__Piscicoccus	0.0	0.0	0.0	0.0069	0.0148	0.007	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Dermatophilaceae|g__Tetrasphaera_A	0.0501999999999999	0.079	0.0447	0.0278	0.0315	0.0633	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Kineosporiaceae|g__JAAYAH01	0.0	0.0	0.0	0.0	0.0	0.0	0.0092	0.0112	0.0078
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Kineosporiaceae|g__R-H-3	0.0159	0.0169	0.0148	0.0	0.0	0.0148	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Microbacteriaceae|g__Cx-87	0.0	0.0	0.0	0.0147	0.0102	0.0145	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Microbacteriaceae|g__Leucobacter	0.005	0.004	0.0	0.081	0.0878	0.0956	0.0	0.006	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Microbacteriaceae|g__Microbacterium	0.0876	0.0894	0.0968	0.2095	0.1681	0.3095999999999999	0.0295999999999999	0.0305	0.0273
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Microbacteriaceae|g__Pseudoclavibacter	0.0	0.0	0.0	0.0355	0.0186	0.0491	0.0	0.0016	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Microbacteriaceae|g__Rhodoglobus	0.1173	0.1551	0.158	0.0	0.0	0.0681	0.1187	0.0685	0.133
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Micrococcaceae|g__Glutamicibacter	0.0	0.0	0.0	0.0317	0.013	0.0318	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Micrococcaceae|g__Kocuria	0.0	0.0	0.0	0.0143	0.0197	0.0146	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Micrococcaceae|g__Micrococcus	0.0	0.0	0.0	0.0043	0.0062	0.0146	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Micrococcaceae|g__Paeniglutamicibacter	0.0	0.0	0.0	0.0107	0.0074	0.0104	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Micrococcaceae|g__Rothia	0.0	0.0	0.0	0.0163	0.0147	0.0464	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Micrococcaceae|g__Specibacter	0.0	0.0	0.0	0.011	0.0044	0.0052999999999999	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Mycobacteriaceae|g__Corynebacterium	0.0	0.0	0.0	0.0242	0.0118	0.036	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Mycobacteriaceae|g__Dietzia	0.0	0.0	0.0	0.0	0.0019	0.0028	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Mycobacteriaceae|g__Gordonia	0.027	0.0361	0.0614	0.0129	0.0035	0.0128999999999999	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Mycobacteriaceae|g__Mycobacterium	0.1067	0.1678999999999999	0.2399	0.0185	0.0152	0.0284999999999999	0.0008	0.0012	0.001
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Mycobacteriaceae|g__Nocardia	0.0238	0.0186	0.0327	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Mycobacteriaceae|g__Rhodococcus	0.008	0.0255999999999999	0.0036	0.0383	0.0205	0.0232	0.0013	0.0	0.0009
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Mycobacteriaceae|g__Tsukamurella	0.0	0.0	0.0	0.0021	0.0	0.0022	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Mycobacteriaceae|g__Williamsia_A	0.0	0.0044	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Nakamurellaceae|g__Nakamurella	0.0	0.0	0.0	0.0088	0.008	0.0283	0.0056	0.0023	0.0024
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Nanopelagicales|f__Nanopelagicaceae|g__Nanopelagicus	0.0264	0.0543	0.053	0.0058	0.0099	0.0047	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Nanopelagicales|f__Nanopelagicaceae|g__Planktophila	0.0185	0.0277	0.0	0.0026	0.0046	0.0025	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Nanopelagicales|f__Nanopelagicaceae|g__QYPT01	0.0	0.0	0.0	0.0029	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Nocardioidaceae|g__Marmoricola	0.2345	0.356	0.2951	0.0	0.0	0.2199	0.0066	0.0046	0.0095
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides	0.0	0.0	0.0161	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Arachnia	0.0458999999999999	0.045	0.0348	0.2242	0.1863	0.243	0.0062	0.0083	0.0058
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Brooklawnia	0.1013999999999999	0.1144	0.1004	0.087	0.065	0.1164999999999999	0.0327	0.048	0.0542
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__CALKHV01	0.0	0.0	0.0	0.0067	0.0055	0.0057	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium	0.0	0.0	0.0	0.0012	0.0012	0.0038	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Luteococcus	0.0	0.0	0.0	0.0174	0.0089	0.0192	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Microlunatus	0.0	0.0	0.0	0.0088	0.0097	0.0151	0.0	0.0013	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Micropruina	0.0626999999999999	0.1257	0.0142	0.1343	0.1329	0.2795	0.0197999999999999	0.0314	0.0398
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium	0.0097	0.0134	0.0	0.0033	0.0046	0.005	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Propioniciclava	0.054	0.0915999999999999	0.0271	0.1644	0.1285	0.2226	0.0204	0.0308999999999999	0.0296
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionicimonas	0.0094	0.0102	0.0201	0.0789	0.0626	0.1174	0.0039	0.0102	0.0133
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__S36-B12|f__S36-B12|g__UBA10649	0.0584	0.0752	0.1513	0.0	0.0	0.0246	0.0118	0.0112	0.0138
