Contig_Names,HiFi_MAG_Pipeline
s10995.ctg012630l,NA
s182.ctg001554l,NA
s36.ctg056521l,NA
s26742.ctg031564l,NA
s3506.ctg041640l,NA
s12293.ctg014132l,NA
s30.ctg050005l,NA
s981.ctg016182l,NA
s2498.ctg002772c,NA
s19097.ctg022264l,NA
s5983.ctg006760l,NA
s155.ctg002185l,NA
s67.ctg058848l,NA
s34916.ctg041890l,NA
s182.ctg014094l,NA
s43853.ctg056363l,NA
s36.ctg025765l,NA
s36.ctg004073l,NA
s26436.ctg031181l,NA
s858.ctg000946l,NA
s32580.ctg038855l,NA
s1840.ctg040223l,NA
s7196.ctg008153l,NA
s7634.ctg020699l,NA
s29409.ctg034860c,NA
s41169.ctg051095l,NA
s33274.ctg039738l,NA
s8858.ctg010120l,NA
s36.ctg057299l,NA
s6212.ctg007028l,NA
s13383.ctg015424l,NA
s4609.ctg005166l,NA
s14361.ctg016600c,NA
s43156.ctg054873l,NA
s36.ctg001820l,NA
s36.ctg026163l,NA
s118.ctg022112l,NA
s12965.ctg014939c,NA
s8745.ctg009980l,NA
s36.ctg053129l,NA
s17320.ctg020114c,NA
s3540.ctg012787l,NA
s43915.ctg056542l,NA
s1847.ctg056078l,NA
s31147.ctg037048l,NA
s36.ctg047227l,NA
s3767.ctg004202l,NA
s15694.ctg018192l,NA
s10170.ctg011641l,NA
s17380.ctg020188l,NA
s18269.ctg021250c,NA
s36.ctg045155l,NA
s36.ctg031809l,NA
s36.ctg045720l,NA
s24037.ctg028240l,NA
s36.ctg060267l,NA
s28755.ctg034050l,NA
s8239.ctg009394l,NA
s19635.ctg022903l,NA
s36.ctg060055l,NA
s33763.ctg040388l,NA
s36.ctg049928l,NA
s22894.ctg026830l,NA
s10976.ctg012603c,NA
s44607.ctg058268l,NA
s182.ctg033984l,NA
s738.ctg035310l,NA
s30.ctg022464l,NA
s19659.ctg022932l,NA
s9625.ctg011010c,NA
s14430.ctg016678l,NA
s23421.ctg027493l,NA
s9189.ctg010504l,NA
s39710.ctg048713l,NA
s24868.ctg029253l,NA
s20307.ctg023723l,NA
s36.ctg005608l,NA
s8254.ctg009410l,NA
s974.ctg001071c,NA
s30.ctg004639l,NA
s26153.ctg030835l,NA
s36.ctg054453l,NA
s9934.ctg011368l,NA
s2059.ctg050708l,NA
s5186.ctg005842c,NA
s1802.ctg042252l,NA
s6766.ctg007667l,NA
s8121.ctg028802l,NA
s14225.ctg016440l,NA
s22016.ctg025768l,NA
s182.ctg007304l,NA
s8678.ctg026277l,NA
s17810.ctg020711l,NA
s43729.ctg056081l,NA
s10094.ctg011555l,NA
s20499.ctg023944c,NA
s28370.ctg033578l,NA
s36.ctg051310l,NA
s22390.ctg026216l,NA
s13472.ctg055298l,NA
s36.ctg052352l,NA
s12505.ctg014393l,NA
s12426.ctg043611l,NA
s31208.ctg037131l,NA
s8380.ctg009555l,NA
s36.ctg058142l,NA
s31530.ctg037553l,NA
s126.ctg000136l,NA
s8728.ctg009963c,NA
s4175.ctg004672l,NA
s1525.ctg019720l,NA
s36.ctg059775l,NA
s36.ctg039015l,NA
s108.ctg000118l,NA
s4316.ctg004829l,NA
s118.ctg040932l,NA
s36.ctg043819l,NA
s36.ctg016430l,NA
s7646.ctg008688l,NA
s30.ctg004760l,NA
s10688.ctg018494l,NA
s913.ctg001005l,NA
s8138.ctg009276l,NA
s18539.ctg021577l,NA
s15647.ctg018140c,NA
s43773.ctg056174l,NA
s11321.ctg013002c,NA
s28292.ctg033478l,NA
s14677.ctg016971l,NA
s35917.ctg043229c,NA
s12426.ctg014290l,NA
s34239.ctg041015l,NA
s6216.ctg007032c,NA
s12915.ctg045451l,NA
s10177.ctg011651l,NA
s9879.ctg011306c,NA
s15982.ctg018539l,NA
s30.ctg038474l,NA
s19865.ctg023188l,NA
s6035.ctg013395l,NA
s13094.ctg058281l,NA
s27356.ctg032315l,NA
s26353.ctg031077l,NA
s30.ctg015941l,NA
s27076.ctg031973l,NA
s20873.ctg024380l,NA
s43051.ctg054660l,NA
s12541.ctg014440l,NA
s6117.ctg006925l,NA
s1658.ctg034296l,NA
s9249.ctg010572l,NA
s924.ctg008518l,NA
s41722.ctg052099l,NA
s36.ctg020050l,NA
s39087.ctg047753l,NA
s20894.ctg024403l,NA
s32082.ctg038240l,NA
s36.ctg002902l,NA
s14560.ctg016830c,NA
s18085.ctg021033l,NA
s9453.ctg010810l,NA
s1445.ctg005704l,NA
s37830.ctg045843l,NA
s8325.ctg009491l,NA
s35143.ctg042180l,NA
s7875.ctg008974l,NA
s43108.ctg054785l,NA
s2411.ctg002672l,NA
s42724.ctg053993l,NA
s7488.ctg008500l,NA
s2458.ctg002724c,NA
s3044.ctg003389l,NA
s1038.ctg015460l,NA
s36.ctg059758l,NA
s38596.ctg046980l,NA
s30.ctg011466l,NA
s34599.ctg041480l,NA
s39478.ctg048366l,NA
s25440.ctg029939l,NA
s36.ctg025307l,NA
s9376.ctg026755l,NA
s4015.ctg010901l,NA
s37972.ctg046062l,NA
s3506.ctg026924l,NA
s2238.ctg002482l,NA
s43711.ctg056032l,NA
s15530.ctg018003l,NA
s1731.ctg001912l,NA
s36713.ctg044314l,NA
s2200.ctg002773l,NA
s36685.ctg044277l,NA
s36.ctg041325l,NA
s7140.ctg048281l,NA
s30510.ctg036236c,NA
s7269.ctg058982l,NA
s7415.ctg056195l,NA
s23908.ctg028084c,NA
s36.ctg059716l,NA
s23784.ctg027932l,NA
s37562.ctg045470l,NA
s9946.ctg011381l,NA
s1489.ctg001642l,NA
s40028.ctg049207l,NA
s15030.ctg017390l,NA
s36.ctg051357l,NA
s33575.ctg040124l,NA
s36.ctg054401l,NA
s2277.ctg005449l,NA
s9574.ctg010952l,NA
s14384.ctg016630l,NA
s2592.ctg002883l,NA
s15629.ctg018120c,NA
s39086.ctg047752l,NA
s9765.ctg011171l,NA
s16022.ctg018582l,NA
s7140.ctg017394l,NA
s33.ctg004249l,NA
s37211.ctg044982l,NA
s5520.ctg006231l,NA
s36.ctg059351l,NA
s36.ctg041974l,NA
s14263.ctg016483l,NA
s39082.ctg047743l,NA
s15380.ctg017827l,NA
s2744.ctg003057l,NA
s12102.ctg013905l,NA
s36.ctg020413l,NA
s22009.ctg025759l,NA
s4829.ctg005418l,NA
s31605.ctg037652l,NA
s13612.ctg015709l,NA
s2553.ctg002837l,NA
s9680.ctg011072c,NA
s36877.ctg044530l,NA
s3096.ctg003445l,NA
s25429.ctg029923l,NA
s36.ctg054253l,NA
s4098.ctg004583l,NA
s36.ctg008429l,NA
s5289.ctg005966l,NA
s7095.ctg008042l,NA
s19195.ctg022383l,NA
s2509.ctg011924l,NA
s6570.ctg007444l,NA
s37622.ctg045553l,NA
s738.ctg017472l,NA
s26189.ctg030882l,NA
s21846.ctg025566l,NA
s35010.ctg042008c,NA
s16808.ctg019515l,NA
s13599.ctg015695l,NA
s9175.ctg010490l,NA
s323.ctg043993l,NA
s15384.ctg028074l,NA
s1861.ctg049227l,NA
s848.ctg005983l,NA
s1423.ctg019495l,NA
s41945.ctg052498l,NA
s1174.ctg001294l,NA
s36.ctg056818l,NA
s848.ctg015446l,NA
s37036.ctg044749l,NA
s17909.ctg020824l,NA
s25117.ctg029537l,NA
s7134.ctg008086l,NA
s34256.ctg041038l,NA
s8476.ctg009662l,NA
s30136.ctg035768l,NA
s42123.ctg052843l,NA
s4733.ctg005309l,NA
s12045.ctg013843c,NA
s40828.ctg050514l,NA
s36.ctg060300l,NA
s12388.ctg014245c,NA
s970.ctg001067l,NA
s18756.ctg021847l,NA
s42686.ctg053901l,NA
s36.ctg052671l,NA
s31369.ctg037349l,NA
s323.ctg051552l,NA
s7262.ctg008228c,NA
s329.ctg043253l,NA
